,user_id,dlc_id,parent_id,recommended,num_review,num_owned_games,dlc_play_time_hr,game_play_time,price_diff,lag_month,dlc_price,game_price,dlc_release_date,game_release_date,dlc:Captionsavailable,dlc:Co-op,dlc:Commentaryavailable,dlc:Cross-PlatformMultiplayer,dlc:DownloadableContent,dlc:Fullcontrollersupport,dlc:Gamepad,dlc:HTCVive,dlc:In-AppPurchases,dlc:IncludesSourceSDK,dlc:Includesleveleditor,dlc:Keyboard/Mouse,dlc:LocalCo-op,dlc:LocalMulti-Player,dlc:MMO,dlc:Multi-player,dlc:OculusRift,dlc:OnlineCo-op,dlc:OnlineMulti-Player,dlc:PartialControllerSupport,dlc:Room-Scale,dlc:Seated,dlc:Shared/SplitScreen,dlc:Single-player,dlc:Standing,dlc:Stats,dlc:SteamAchievements,dlc:SteamCloud,dlc:SteamLeaderboards,dlc:SteamTradingCards,dlc:SteamTurnNotifications,dlc:SteamVRCollectibles,dlc:SteamWorkshop,dlc:TrackedMotionControllers,dlc:ValveAnti-Cheatenabled,dlc:WindowsMixedReality,Accounting,Action,Adventure,Animation&Modeling,AudioProduction,Casual,Design&Illustration,EarlyAccess,Education,FreetoPlay,Indie,MassivelyMultiplayer,PhotoEditing,RPG,Racing,Simulation,SoftwareTraining,Sports,Strategy,Utilities,VideoProduction,WebPublishing,Captionsavailable,Co-op,Commentaryavailable,Cross-PlatformMultiplayer,DownloadableContent,Fullcontrollersupport,Gamedemo,Gamepad,HTCVive,In-AppPurchases,IncludesSourceSDK,Includesleveleditor,Keyboard/Mouse,LocalCo-op,LocalMulti-Player,MMO,Mods,Mods-requireHL2,Multi-player,OculusRift,OnlineCo-op,OnlineMulti-Player,PartialControllerSupport,Room-Scale,Seated,Shared/SplitScreen,Single-player,Standing,Stats,SteamAchievements,SteamCloud,SteamLeaderboards,SteamTradingCards,SteamTurnNotifications,SteamVRCollectibles,SteamWorkshop,TrackedMotionControllers,ValveAnti-Cheatenabled,WindowsMixedReality
0,76561197999899413,760610,744800,1,6,888.0,0.0,6,2.99,0,2.99,0.0,2017-03-03,2017-03-03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,900.0,689.0,0.0,0.0,640.0,2.0,46.0,0.0,238.0,1330.0,48.0,0.0,306.0,51.0,230.0,0.0,51.0,352.0,1.0,0.0,2.0,73.0,201.0,24.0,132.0,0.0,514.0,0.0,8.0,13.0,82.0,10.0,101.0,7.0,33.0,41.0,36.0,1.0,0.0,395.0,10.0,47.0,90.0,383.0,6.0,11.0,188.0,1842.0,9.0,180.0,1287.0,728.0,375.0,1089.0,7.0,0.0,98.0,7.0,28.0,0.0
0,76561198151921721,760610,744800,1,37,213.0,0.0,5,2.99,0,2.99,0.0,2017-03-03,2017-03-03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,99.0,107.0,2.0,1.0,79.0,2.0,9.0,0.0,48.0,208.0,8.0,0.0,26.0,4.0,38.0,0.0,7.0,35.0,3.0,1.0,1.0,21.0,21.0,10.0,19.0,0.0,91.0,0.0,2.0,4.0,5.0,10.0,25.0,1.0,8.0,10.0,5.0,0.0,0.0,45.0,4.0,10.0,16.0,44.0,2.0,3.0,30.0,236.0,3.0,31.0,190.0,111.0,53.0,156.0,0.0,1.0,26.0,3.0,4.0,1.0
0,76561198141277447,779280,776490,1,8,164.0,0.0,617,0.0,0,2.99,2.99,2018-01-11,2018-01-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,71.0,84.0,1.0,0.0,66.0,3.0,5.0,0.0,46.0,119.0,10.0,0.0,40.0,0.0,27.0,0.0,4.0,13.0,2.0,0.0,2.0,14.0,19.0,4.0,8.0,0.0,48.0,0.0,1.0,2.0,9.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,32.0,2.0,7.0,12.0,31.0,2.0,2.0,5.0,162.0,2.0,15.0,124.0,68.0,17.0,109.0,0.0,1.0,12.0,2.0,12.0,0.0
0,76561198067653526,779280,776490,1,94,304.0,0.0,1371,0.0,0,2.99,2.99,2018-01-11,2018-01-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,182.0,95.0,0.0,0.0,74.0,0.0,2.0,0.0,49.0,228.0,15.0,0.0,93.0,2.0,53.0,0.0,0.0,87.0,0.0,0.0,0.0,11.0,54.0,1.0,28.0,0.0,128.0,0.0,2.0,3.0,18.0,2.0,32.0,2.0,7.0,6.0,15.0,0.0,0.0,89.0,3.0,13.0,21.0,70.0,1.0,3.0,36.0,322.0,1.0,44.0,273.0,165.0,105.0,227.0,3.0,0.0,42.0,1.0,9.0,0.0
0,76561198067653526,316910,259680,1,94,304.0,0.0,10044,-3.0,22,3.99,6.99,2014-10-27,2012-12-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0.0,182.0,95.0,0.0,0.0,74.0,0.0,2.0,0.0,49.0,228.0,15.0,0.0,93.0,2.0,53.0,0.0,0.0,87.0,0.0,0.0,0.0,11.0,54.0,1.0,28.0,0.0,128.0,0.0,2.0,3.0,18.0,2.0,32.0,2.0,7.0,6.0,15.0,0.0,0.0,89.0,3.0,13.0,21.0,70.0,1.0,3.0,36.0,322.0,1.0,44.0,273.0,165.0,105.0,227.0,3.0,0.0,42.0,1.0,9.0,0.0
0,76561198067653526,465480,282800,1,94,304.0,0.0,40606,-4.0,33,2.99,6.99,2016-06-07,2013-09-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0.0,182.0,95.0,0.0,0.0,74.0,0.0,2.0,0.0,49.0,228.0,15.0,0.0,93.0,2.0,53.0,0.0,0.0,87.0,0.0,0.0,0.0,11.0,54.0,1.0,28.0,0.0,128.0,0.0,2.0,3.0,18.0,2.0,32.0,2.0,7.0,6.0,15.0,0.0,0.0,89.0,3.0,13.0,21.0,70.0,1.0,3.0,36.0,322.0,1.0,44.0,273.0,165.0,105.0,227.0,3.0,0.0,42.0,1.0,9.0,0.0
0,76561198067653526,616850,270150,1,94,304.0,0.0,3487,-5.0,31,9.99,14.99,2017-10-26,2015-04-02,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,182.0,95.0,0.0,0.0,74.0,0.0,2.0,0.0,49.0,228.0,15.0,0.0,93.0,2.0,53.0,0.0,0.0,87.0,0.0,0.0,0.0,11.0,54.0,1.0,28.0,0.0,128.0,0.0,2.0,3.0,18.0,2.0,32.0,2.0,7.0,6.0,15.0,0.0,0.0,89.0,3.0,13.0,21.0,70.0,1.0,3.0,36.0,322.0,1.0,44.0,273.0,165.0,105.0,227.0,3.0,0.0,42.0,1.0,9.0,0.0
0,76561198374084021,779280,776490,1,11,90.0,0.0,195,0.0,0,2.99,2.99,2018-01-11,2018-01-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,64.0,32.0,1.0,0.0,24.0,3.0,4.0,0.0,5.0,41.0,3.0,2.0,8.0,1.0,4.0,0.0,2.0,9.0,1.0,0.0,0.0,11.0,7.0,6.0,3.0,0.0,32.0,0.0,0.0,0.0,2.0,9.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0,25.0,0.0,3.0,6.0,15.0,0.0,0.0,3.0,66.0,0.0,16.0,56.0,37.0,10.0,57.0,0.0,0.0,5.0,0.0,15.0,0.0
0,76561198029850210,779280,776490,1,22,127.0,0.0,642,0.0,0,2.99,2.99,2018-01-11,2018-01-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,51.0,51.0,2.0,0.0,27.0,2.0,2.0,0.0,27.0,72.0,11.0,0.0,27.0,2.0,20.0,0.0,2.0,29.0,1.0,1.0,1.0,8.0,17.0,3.0,10.0,0.0,24.0,0.0,2.0,4.0,12.0,3.0,13.0,1.0,1.0,1.0,10.0,0.0,0.0,38.0,4.0,4.0,9.0,26.0,1.0,4.0,4.0,121.0,2.0,17.0,86.0,54.0,21.0,89.0,0.0,0.0,15.0,2.0,8.0,0.0
0,76561198029850210,441270,286260,1,22,127.0,0.0,677,-5.0,30,9.99,14.99,2016-02-02,2013-08-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,51.0,51.0,2.0,0.0,27.0,2.0,2.0,0.0,27.0,72.0,11.0,0.0,27.0,2.0,20.0,0.0,2.0,29.0,1.0,1.0,1.0,8.0,17.0,3.0,10.0,0.0,24.0,0.0,2.0,4.0,12.0,3.0,13.0,1.0,1.0,1.0,10.0,0.0,0.0,38.0,4.0,4.0,9.0,26.0,1.0,4.0,4.0,121.0,2.0,17.0,86.0,54.0,21.0,89.0,0.0,0.0,15.0,2.0,8.0,0.0
