,0
Single-player,10555
Downloadable Content,12571
Steam Achievements,7109
Full controller support,3305
Steam Trading Cards,5309
Steam Cloud,5019
Stats,931
Online Multi-Player,967
Local Multi-Player,324
Steam Workshop,1171
Multi-player,5027
Partial Controller Support,3480
Steam Leaderboards,3527
Captions available,388
In-App Purchases,504
Shared/Split Screen,2370
Co-op,2956
Cross-Platform Multiplayer,1703
Valve Anti-Cheat enabled,356
MMO,554
Includes level editor,554
Steam Turn Notifications,38
Online Co-op,418
Local Co-op,146
Includes Source SDK,22
Commentary available,62
HTC Vive,30
Oculus Rift,23
Gamepad,13
Keyboard / Mouse,10
Seated,27
Standing,23
Room-Scale,17
Tracked Motion Controllers,21
Windows Mixed Reality,3
SteamVR Collectibles,0
