,0
Action,4260
Indie,5051
Casual,3046
Adventure,2522
RPG,2729
Simulation,4158
Racing,460
Sports,649
Strategy,3486
Free to Play,1152
Driving,42
Multiplayer,166
Singleplayer,197
Design & Illustration,358
Web Publishing,253
Historical,48
FPS,128
Horror,78
Sci-fi,64
Dark,28
Atmospheric,221
Survival Horror,22
Shooter,68
Zombies,47
First-Person,48
Open World,204
Tactical,34
Realistic,131
Military,13
Sandbox,232
Fantasy,237
Music,94
Puzzle,41
Fighting,27
Soundtrack,100
Survival,51
Trains,116
Family Friendly,129
TrackIR,108
Level Editor,28
City Builder,38
Building,41
Moddable,37
Flight,27
RTS,33
Gore,127
Blood,8
Batman,10
Physics,97
Co-op,107
Rogue-like,19
Lovecraftian,22
Pinball,7
Warhammer 40K,10
Massively Multiplayer,639
Point & Click,18
Great Soundtrack,166
Exploration,34
2D,65
Story Rich,205
Episodic,9
Mature,10
Mystery,11
Drama,9
Interactive Fiction,4
Surreal,5
Psychological Horror,17
Third Person,24
Difficult,40
Procedural Generation,5
Replay Value,32
Dungeon Crawler,8
Rogue-lite,5
Tower Defense,4
Turn-Based Strategy,32
Turn-Based,258
4X,13
Online Co-Op,215
Funny,53
Pirates,11
Grand Strategy,37
Medieval,14
Platformer,22
RPGMaker,44
Game Development,63
Dinosaurs,15
Stealth,46
Steampunk,7
Assassin,6
Modern,4
Post-apocalyptic,26
Choices Matter,14
Loot,9
War,23
Fast-Paced,8
PvP,11
Real Time Tactics,3
Competitive,26
Team-Based,12
Base Building,12
Aliens,5
Mechs,1
Perma Death,7
World War II,16
Audio Production,42
Heist,15
Gun Customization,3
Rome,10
Anime,75
Utilities,350
Animation & Modeling,111
Education,70
Politics,1
LEGO,18
Action RPG,15
Comedy,28
Dark Humor,5
Typing,1
Crafting,18
Party-Based RPG,189
Investigation,3
Female Protagonist,36
Memes,19
Sexual Content,41
Hacking,5
Visual Novel,38
Software Training,42
Arcade,34
2D Fighter,9
Beat 'em up,3
Dark Fantasy,15
Western,11
MOBA,7
Kickstarter,3
Software,214
MMORPG,7
Relaxing,33
Board Game,20
Horses,3
Video Production,40
Hunting,3
Retro,25
Pixel Graphics,22
Local Co-Op,8
Local Multiplayer,11
Illuminati,6
Shoot 'Em Up,17
Movie,1
Documentary,1
Space,31
Naval,5
Puzzle-Platformer,15
Arena Shooter,1
Parkour,5
4 Player Local,9
Controller,8
Dragons,11
Crime,7
Nudity,45
Cute,24
JRPG,7
Silent Protagonist,0
Side Scroller,4
Ninja,6
Classic,18
3D Platformer,3
Experimental,1
Based On A Novel,4
Dystopian,9
Psychological,5
Cult Classic,9
World War I,1
Comic Book,2
GameMaker,25
Robots,2
VR,12
Bullet Hell,9
Photo Editing,38
Space Sim,5
Martial Arts,0
Destruction,4
Mouse only,3
Touch-Friendly,5
Gaming,0
Clicker,5
Runner,4
Turn-Based Tactics,11
Hex Grid,9
Futuristic,11
Diplomacy,0
Magic,8
Stylized,15
Choose Your Own Adventure,10
Turn-Based Combat,9
Minimalist,20
Music-Based Procedural Generation,0
Metroidvania,4
Isometric,7
CRPG,3
Hidden Object,2
Hand-drawn,1
Economy,12
Swordplay,4
6DOF,3
Sailing,4
Cinematic,2
Lore-Rich,4
America,2
Wargame,6
Early Access,1
Star Wars,0
Supernatural,2
Action-Adventure,8
Violent,177
Detective,2
Hack and Slash,6
Twin Stick Shooter,3
Rhythm,4
Cartoony,3
Abstract,1
Cartoon,4
Real-Time,6
Resource Management,8
Remake,4
Cyberpunk,9
Cold War,5
Games Workshop,10
Short,9
Tanks,2
Demons,6
Management,6
Romance,4
Alternate History,7
Linear,1
Dark Comedy,2
Conspiracy,1
Walking Simulator,6
Mod,2
Strategy RPG,1
Tactical RPG,2
Dating Sim,1
Programming,1
Gambling,1
Colorful,1
Parody,1
Third-Person Shooter,9
PvE,4
e-sports,0
Text-Based,0
Trading,4
Top-Down,3
Asynchronous Multiplayer,4
Top-Down Shooter,7
Science,3
Nonlinear,0
Experience,0
Mystery Dungeon,2
Underground,1
Underwater,1
Satire,0
Vampire,2
Otome,1
Multiple Endings,3
Crowdfunded,2
Trading Card Game,3
Character Customization,6
Class-Based,1
Score Attack,0
Co-op Campaign,0
Political,0
Benchmark,1
Card Game,2
3D Vision,0
Grid-Based Movement,1
Werewolves,1
Agriculture,0
Mythology,1
Noir,8
Soccer,0
Football,0
Dynamic Narration,0
Golf,0
Superhero,1
Sniper,2
Capitalism,0
