,0
Single-player,28008
Partial Controller Support,6625
Steam Cloud,10096
Steam Leaderboards,6153
Multi-player,8263
Online Multi-Player,2418
HTC Vive,2013
Oculus Rift,1236
Tracked Motion Controllers,1841
Gamepad,399
Keyboard / Mouse,435
Seated,1112
Standing,1484
Room-Scale,1459
Steam Achievements,16606
Steam Trading Cards,12377
Co-op,4306
Online Co-op,1008
Local Co-op,753
Shared/Split Screen,4006
Downloadable Content,12835
Full controller support,7499
MMO,933
Local Multi-Player,1263
Valve Anti-Cheat enabled,462
Captions available,1660
Includes Source SDK,59
In-App Purchases,956
Cross-Platform Multiplayer,2581
Stats,2339
Steam Workshop,1897
Windows Mixed Reality,173
Includes level editor,1398
Commentary available,205
Mods,10
Mods (require HL2),9
Game demo,370
Steam Turn Notifications,90
SteamVR Collectibles,30
Mods (require HL1),0
