,title,genres,developer,publisher,release_date
2,OVERVIEW,"['Adventure', ' Casual', ' Simulation']",Orbital Views,Orbital Views,2018-01-01
33,,,,,
35,Second Nature,,,,2017-09-18
56,The Iron Lady,,,,2012-04-10
57,LIV Client,"['Utilities', ' Video Production', ' Web Publishing']",LIV Inc,LIV Inc,2018-01-01
70,Awakening,"['Animation & Modeling', ' Design & Illustration', ' Utilities']",AwingSoft,AwingSoft,2017-08-15
78,Mech League Boxing,"['Action', ' Simulation', ' Sports']",VRGEN,VRGEN,2018-01-10
109,The Defector,,,,2018-01-06
111,,,,,
347,,,,,
1439,War Thunder,"['Action', ' Free to Play', ' Massively Multiplayer', ' Simulation']",Gaijin Entertainment,Gaijin Entertainment,2013-08-15
1474,,,,,
1480,Legend of Dungeon,"['Action', ' Indie', ' RPG']",Robot Loves Kitty,,2013-09-13
1576,,,,,
1615,,,,,
1616,,,,,
1631,,,,,
1638,,,,,
1639,,,,,
1692,Leadwerks Game Engine,"['Animation & Modeling', ' Design & Illustration', ' Education', ' Software Training', ' Utilities']",Leadwerks Software,Leadwerks Software,2014-01-06
1700,,,,,
1701,,,,,
1702,,,,,
1703,,,,,
2265,Infinity Runner,"['Action', ' Indie']",Wales Interactive,Wales Interactive,2014-07-14
2362,,,,,
2410,NoLimits 2 Roller Coaster Simulation,"['Indie', ' Simulation']",Ole Lange,Mad Data GmbH & Co. KG,2014-08-21
2707,,,,,
2883,Volo Airsport,"['Action', ' Indie', ' Simulation', ' Sports', ' Early Access']",Ramjet Anvil,Ramjet Anvil,2014-12-04
2928,Subnautica,"['Adventure', ' Indie', ' Early Access']",Unknown Worlds Entertainment,Unknown Worlds Entertainment,2018-01-23
3017,Motorbike,"['Action', ' Casual', ' Indie', ' Racing', ' Simulation', ' Sports']",baKno Games,baKno Games,2011-05-09
3185,The Art of Playing,,,,2015-02-10
3249,,,,,
3353,,,,,
3365,Project CARS,"['Racing', ' Simulation', ' Sports']",Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment",2015-03-15
3399,,,,,
3421,Why We Ride,,,,2015-03-27
3518,,,,,
3531,Ogrest,,,,2015-04-23
3547,,,,,
3656,,,,,
3726,Forge Quest,"['Action', ' Adventure', ' Indie', ' RPG']",,,2015-05-22
3739,RaidersSphere4th,"['Action', ' Indie', ' Simulation']",Rectangle,Sekai Project,2013-12-31
3772,Tabletop Simulator,"['Casual', ' Indie', ' RPG', ' Simulation', ' Strategy']",Berserk Games,Berserk Games,2015-06-05
